Year,Women_Words,Men_Words
2014,child,autor
2014,accord,obscure
2014,family,dropout
2014,party,string
2014,public,killing
2014,raise,garner
2014,obama,rice
2014,university,tamir
2014,care,cisitu
2014,democrats,sample
2014,income,abbott
2014,national,jury
2014,equal,juror
2014,house,paunchy
2014,policy,anchor
2014,election,inch
2014,vote,steroid
2014,health,fend
2014,marriage,thinkmuscle
2014,effort,bulk
2014,speak,surmise
2014,earn,symbolically
2014,government,emblem
2014,result,companion
2014,republican,terry
2014,city,latino
2014,political,strasbourg
2014,dollar,subtle
2014,decade,brass
2014,candidate,sniff
2023,people,holder
2023,work,golf
2023,color,bisexual
2023,care,unthinkingly
2023,right,lemmer
2023,likely,regretfully
2023,gender,bangkok
2023,report,notorious
2023,face,route
2023,country,disorderly
2023,increase,nationally
2023,support,wildlife
2023,president,capture
2023,issue,wolf
2023,role,parks
2023,live,breeding
2023,society,deliveryman
2023,early,store
2023,researcher,hazardous
2023,great,junior
2023,make,aggressively
2023,social,manifestation
2023,pregnant,equipment
2023,grow,alshawamreh
2023,program,aviv
2023,death,dildo
2023,medical,empty
2023,pregnancy,flick
2023,cause,tape
2023,access,banter
